PM 2.5,PM 10,CO,CO2
40.1,47.6,1.39131,403.15683
39.0,46.8,1.44042,403.13321
39.1,48.9,1.33349,403.15091
39.0,47.1,1.37068,403.1391
38.2,46.4,1.3741,403.10388
40.1,46.8,1.34692,403.12732
37.7,45.5,1.3741,403.1391
38.7,47.8,1.34019,403.10388
35.7,44.0,1.38785,403.15683
35.3,42.6,1.37068,403.12146
35.9,43.8,1.37753,403.09222
36.4,43.6,1.3741,403.0748
36.3,42.9,1.40869,403.0748
34.6,41.2,1.38096,403.02872
36.1,43.2,1.39824,403.06323
35.6,44.8,1.3741,403.04019
34.7,41.2,1.4052,403.03445
34.4,42.1,1.39477,403.02298
33.9,41.6,1.39477,403.03445
34.4,39.8,1.38441,403.0806
35.2,41.5,1.35706,403.02298
35.2,42.3,1.3741,403.05743
35.8,42.7,1.39824,403.0864
34.2,39.3,1.38096,403.09222
33.9,39.8,1.41219,403.03445
35.2,41.3,1.4052,403.069
34.0,40.4,1.39477,403.06323
34.0,41.1,1.39477,403.04593
34.4,41.2,1.37068,403.00589
34.6,40.9,1.37068,403.04019
34.2,40.2,1.34692,403.0517
32.8,38.5,1.38441,402.96628
33.3,40.1,1.34692,403.01727
33.5,40.9,1.38096,403.00021
33.1,38.6,1.35706,402.99454
32.4,37.3,1.38441,403.0517
32.5,39.3,1.39477,403.00589
33.3,40.1,1.30695,403.03445
31.3,37.2,1.38096,402.97754
31.9,37.3,1.36386,403.00589
32.1,38.5,1.35706,403.03445
31.2,38.1,1.36726,403.01157
30.4,37.7,1.34692,403.03445
32.3,38.4,1.33015,403.0517
31.7,37.9,1.37068,403.02872
31.2,38.9,1.34019,402.99454
